 LEVEL NAME,LEVEL NUMBER,WALLSET,MAPFILE,DISK
Prison,0,PRISON,PRISON,1
Gatehouse,1,GREYW,GATEHS,1
Insectoid Barracks Lower,2,ONIX,BARRAX1,2
Insectoid Barracks Upper,3,ONIX,BARRAX2,2
Lower Caves,4,CAVES,CAVES3,2
Upper Caves,5,CAVES,CAVES2,2
Mechamantis Lairs,6,RUBY,LAIRS,3
Naga Chambers Lower,7,COPPER,NAGA1,3
Naga Chambers Upper,8,COPPER,NAGA2,3
Maeldune Forest,9,FOREST,THICKET,3
Secret Catacomb,10,GREYW,CRYPT1,3
Middle Temple,11,GREEN,TEMPLE1,4
Inner Temple,12,GREEN,TEMPLE2,4
Base of Pyramid,13,STEEL,PYRAMID1,4
Pyramid Upper Levels,14,STEEL,PYRAMID2,4
Lair of the Ultimate Showdown,15,PYRATOP,PYRAMID3,4
